key: f0, batch_size: 2048, #indices: 1, #unique: 0.0020, #ttidx_2pair: 0.0020, #ttidx_3pair: 0.0020
key: f0, batch_size: 4096, #indices: 1, #unique: 0.0010, #ttidx_2pair: 0.0010, #ttidx_3pair: 0.0010
key: f0, batch_size: 8192, #indices: 1, #unique: 0.0005, #ttidx_2pair: 0.0005, #ttidx_3pair: 0.0005
key: f0, batch_size: 16384, #indices: 1, #unique: 0.0002, #ttidx_2pair: 0.0002, #ttidx_3pair: 0.0002
key: f0, batch_size: 32768, #indices: 1, #unique: 0.0001, #ttidx_2pair: 0.0001, #ttidx_3pair: 0.0001
key: f0, batch_size: 65536, #indices: 1, #unique: 0.0001, #ttidx_2pair: 0.0001, #ttidx_3pair: 0.0001
key: f0, batch_size: 131072, #indices: 1, #unique: 0.0000, #ttidx_2pair: 0.0000, #ttidx_3pair: 0.0000
key: f4, batch_size: 2048, #indices: 1, #unique: 0.3209, #ttidx_2pair: 0.0564, #ttidx_3pair: 0.3093
key: f4, batch_size: 4096, #indices: 1, #unique: 0.3078, #ttidx_2pair: 0.0280, #ttidx_3pair: 0.2866
key: f4, batch_size: 8192, #indices: 1, #unique: 0.2859, #ttidx_2pair: 0.0140, #ttidx_3pair: 0.2508
key: f4, batch_size: 16384, #indices: 1, #unique: 0.2600, #ttidx_2pair: 0.0070, #ttidx_3pair: 0.2054
key: f4, batch_size: 32768, #indices: 1, #unique: 0.2367, #ttidx_2pair: 0.0035, #ttidx_3pair: 0.1561
key: f4, batch_size: 65536, #indices: 1, #unique: 0.2103, #ttidx_2pair: 0.0017, #ttidx_3pair: 0.1050
key: f4, batch_size: 131072, #indices: 1, #unique: 0.1801, #ttidx_2pair: 0.0009, #ttidx_3pair: 0.0614
key: f44, batch_size: 2048, #indices: 1, #unique: 0.4726, #ttidx_2pair: 0.0139, #ttidx_3pair: 0.2933
key: f44, batch_size: 4096, #indices: 1, #unique: 0.3319, #ttidx_2pair: 0.0069, #ttidx_3pair: 0.1727
key: f44, batch_size: 8192, #indices: 1, #unique: 0.2109, #ttidx_2pair: 0.0035, #ttidx_3pair: 0.0950
key: f44, batch_size: 16384, #indices: 1, #unique: 0.1240, #ttidx_2pair: 0.0018, #ttidx_3pair: 0.0504
key: f44, batch_size: 32768, #indices: 1, #unique: 0.0667, #ttidx_2pair: 0.0009, #ttidx_3pair: 0.0257
key: f44, batch_size: 65536, #indices: 1, #unique: 0.0345, #ttidx_2pair: 0.0004, #ttidx_3pair: 0.0129
key: f44, batch_size: 131072, #indices: 1, #unique: 0.0176, #ttidx_2pair: 0.0002, #ttidx_3pair: 0.0065
key: f94, batch_size: 2048, #indices: 1, #unique: 0.1963, #ttidx_2pair: 0.0057, #ttidx_3pair: 0.1325
key: f94, batch_size: 4096, #indices: 1, #unique: 0.1761, #ttidx_2pair: 0.0028, #ttidx_3pair: 0.0898
key: f94, batch_size: 8192, #indices: 1, #unique: 0.1507, #ttidx_2pair: 0.0014, #ttidx_3pair: 0.0526
key: f94, batch_size: 16384, #indices: 1, #unique: 0.1277, #ttidx_2pair: 0.0007, #ttidx_3pair: 0.0277
key: f94, batch_size: 32768, #indices: 1, #unique: 0.1111, #ttidx_2pair: 0.0004, #ttidx_3pair: 0.0140
key: f94, batch_size: 65536, #indices: 1, #unique: 0.0932, #ttidx_2pair: 0.0002, #ttidx_3pair: 0.0069
key: f94, batch_size: 131072, #indices: 1, #unique: 0.0739, #ttidx_2pair: 0.0001, #ttidx_3pair: 0.0034
key: f125, batch_size: 2048, #indices: 1, #unique: 0.1657, #ttidx_2pair: 0.0437, #ttidx_3pair: 0.1599
key: f125, batch_size: 4096, #indices: 1, #unique: 0.1471, #ttidx_2pair: 0.0224, #ttidx_3pair: 0.1384
key: f125, batch_size: 8192, #indices: 1, #unique: 0.1246, #ttidx_2pair: 0.0114, #ttidx_3pair: 0.1123
key: f125, batch_size: 16384, #indices: 1, #unique: 0.1037, #ttidx_2pair: 0.0057, #ttidx_3pair: 0.0873
key: f125, batch_size: 32768, #indices: 1, #unique: 0.0894, #ttidx_2pair: 0.0028, #ttidx_3pair: 0.0667
key: f125, batch_size: 65536, #indices: 1, #unique: 0.0770, #ttidx_2pair: 0.0014, #ttidx_3pair: 0.0475
key: f125, batch_size: 131072, #indices: 1, #unique: 0.0644, #ttidx_2pair: 0.0007, #ttidx_3pair: 0.0300
